Product_Name,Price_AUD,Link,Computer type,Laptop series,Display size (inches),Screen size range,Resolution (Pixels),Screen Resolution,Refresh Rate (Hz),Processor Type,Processor Model Number,Processor Cores,Processor Memory Cache,Processor Max. Clock Speed (GHz),Copilot+ PC,AI features,RAM (GB),RAM type,SSD storage,SSD form factor,Total Storage,Graphics processor,HDMI ports,USB 3.2 Ports,USB-C Ports,USB (Type-C) Port,Headphone port (3.5mm),Webcam,Bluetooth,Backlit keyboard,Wi-Fi,Battery life,Battery WHr,Battery cell count,Operating system,Colour,Product Height (mm),Product Width (mm),Product Depth (mm),Product Weight (kg),Lightweight,Manufacturer's warranty,Display type,Touchscreen,Processor Clock Speed (GHz),USB Ports,Thunderbolt 4.0 ports,Charge port,Card reader,RAM speeds,Manufacturer's Warranty,USB 2.0 Ports,Expandable memory slot(s),Graphics memory,Gaming PC,Graphics card series,Ethernet / LAN ports,eMMC storage,Microsoft Surface type,Neural Processing Unit (NPU),TOPS (AI metric),Travel laptop,Surface Connect ports,Thunderbolt 5.0 ports,Battery capacity (mAh),PC Gaming Device,Memory type,Performance Laptop,Tablet Type,Aspect ratio,RAM module configuration,Flash storage,Expandable storage type,USB 3.1 Ports,Intel Evo device,Response Time (ms),Warranty notes,Thunderbolt 1.0 ports,Contains button battery,Product condition,Network compatibility,USB 3.0 Ports,Mini HDMI ports,Thunderbolt 3.0 ports,Internal memory,Power supply type,Virtual Assistant Built-in,Pack quantity
"HP Laptop 15-fc0433AU 15.6"" FHD Laptop (Ryzen 5)[512GB]",649,https://www.jbhifi.com.au/products/hp-laptop-15-fc0433au-15-6-fhd-laptop-ryzen-5512gb,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,Full HD,,AMD Ryzen 5,AMD Ryzen™ 5 5625U,6 Core,16MB L3,4.3,,,8,DDR4,512GB,M.2,512GB,AMD Radeon Graphics,1,,1,,,Yes,v5.4,No,Wi-Fi 6 (802.11 ax),,41,3,Windows 11 Home,Black,236,359.8,18.6,1.59,,1 Year,SVA,,2.3,2,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 15-fd0738TU 15.6"" FHD Laptop (Intel Core i7)[512GB]",899,https://www.jbhifi.com.au/products/hp-laptop-15-fd0738tu-15-6-fhd-laptop-intel-core-i7512gb,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,Full HD,,Intel Core i7,Intel® Core™ i7-1355U,10 Core,12MB L3,5,,,16,DDR4,512GB,M.2,512GB,Intel® Iris® Xᵉ Graphics,1,,1,,Yes,Yes,v5.3,No,Wi-Fi 6 (802.11 ax),,41,3,Windows 11 Home S,Silver,236,359.8,18.6,1.59,,1 Year,SVA,,1.7,2,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell 15 DC15255 15.6"" FHD 120Hz Laptop (Ryzen 5)[512GB]",999,https://www.jbhifi.com.au/products/dell-15-dc15255-15-6-fhd-120hz-laptop-ryzen-5512gb,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,,120,AMD Ryzen 5,AMD Ryzen 5 7520U,Quad Core,,4.3,,,8,LPDDR5,512GB,,512GB,AMD Radeon 610M,1,2,,,,HD,v5.3,No,Wi-Fi 5 (802.11 ac),,41,3,Windows 11 Home,Black,19.05,358.39,235.45,1.9,,1 Year,WVA,,,,,,SD,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS V16 16"" Full HD 144Hz Gaming Laptop (Intel Core 5)[GeForce RTX 4050]",1399,https://www.jbhifi.com.au/products/asus-v16-16-full-hd-144hz-gaming-laptop-intel-core-5geforce-rtx-4050,Laptop,,16,"15"" to 16.9""",1920 x 1080,Full HD,144,Intel Core 5,Intel® Core™ 5 Processor 210H,8 Core,,4.8,,,32,,512GB,M.2,512GB,,1,2,1,,,FHD,v5.3,Yes,Wi-Fi 6 (802.11 ax),,63,3,Windows 11 Home,Black,250.7,357,22,1.77,,1 Year,,,2.2,3,,,,,,,2,6GB GDDR6,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M4 Chip, 512GB/16GB (Sky Blue)",1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-sky-blue,MacBook Air,,13,"13"" to 13.9""",2560 x 1664,,,Apple M4,,10 Core,,,,,16,,512GB,,512GB,,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Sky Blue,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Zenbook 14 14"" 3K OLED Laptop (Intel Core Ultra 7)[1TB]",2599,https://www.jbhifi.com.au/products/asus-zenbook-14-14-3k-oled-laptop-intel-core-ultra-71tb,Laptop,,14,"14"" to 14.9""",2880 x 1800,3K,,Intel Core Ultra 7,Intel® Core™ Ultra 7 Processor 255H,16 Core,,5.1,,,16,,1TB,M.2,1TB,Intel® Arc™ Graphics,1,1,,,,FHD,v5.4,Yes,Wi-Fi 7 (802.11 be),Up to 18 hours,75,4,Windows 11 Home,Silver,312,220,1.28,1.28,,1 Year,OLED,Yes,5.1,,2,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro 14-inch with M4 Chip, 512GB/16GB (Space Black)[2024]",2298,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m4-chip-512gb-16gb-space-black2024,MacBook Pro,,14,"14"" to 14.9""",3124 x 1964,Liquid Retina XDR display,,Apple M4,,10 Core,,,,,16,,512GB,,512GB,10 core GPU,1,,,,Yes,Yes,v5.3,,Wi-Fi 6E (802.11 ax),Up to 24 Hours video streaming,,,MacOS Sequioa,Space Black,,,,,,1 Year,,,,,3,MagSafe 3,SDXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop (Intel Core i7)[GeForce RTX 4050]",1999,https://www.jbhifi.com.au/products/lenovo-loq-15-6-fhd-144hz-gaming-laptop-intel-core-i7geforce-rtx-4050-3,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,Full HD,144,Intel Core i7,i7-13650HX,14 Core,24MB,4.9,,,24,DDR5 SDRAM,512GB,,512GB,,1,2,1,,,Yes,Yes,Yes,Wi-Fi 6 (802.11 ax),,60,,Windows 11 Home,Grey,23.9,359.86,258.7,2.38,,1 Year,IPS,,,,,,,4800,,,,6GB GDDR6,Yes,NVIDIA GeForce RTX 4050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro 14-inch with M5 Chip, 1TB/24GB (Space Black)",3099,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-1tb-24gb-space-black,MacBook Pro,,14.2,"14"" to 14.9""",3024 x 1964,Liquid Retina XDR display,120,Apple M5,,10 Core,,,,,24,,1TB,,1TB,10 Core GPU,1,,3,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 24 Hours,72.4,,MacOS Sonoma,Space Black,,,,,,1 Year,,,,,3,MagSafe 3,SDXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 15-fc0474AU 15.6"" FHD laptop (Ryzen 7)[512GB]",799,https://www.jbhifi.com.au/products/hp-laptop-15-fc0474au-15-6-fhd-laptop-ryzen-7512gb,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,Full HD,,AMD Ryzen 7,AMD Ryzen™ 7-5825U,8 Core,16MB L3,4.5,,,16,DDR4,512GB,M.2,512GB,AMD Radeon Graphics,1,,1,,Yes,Yes,v5.4,No,Wi-Fi 6 (802.11 ax),,41,3,Windows 11 Home,Black,236,359.8,18.6,1.59,,1 Year,SVA,,2,2,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 3 15.6"" FHD Touchscreen Chromebook Laptop (Intel N4500)[128GB]",449,https://www.jbhifi.com.au/products/lenovo-ideapad-3-15-6-fhd-touchscreen-chromebook-laptop-intel-n4500128gb,Chromebook,,15.6,"15"" to 16.9""",1920 x 1080,Full HD,,Intel Core Celeron,N4500,Dual Core,,2.8,,,8,,,,128GB,integrated Intel UHD,1,2,1,,Yes,Yes,v5.2,,Wi-Fi 6 (802.11 ax),Up to 10 hours,47,,Google Chrome,Grey,362,243,18.95,1.63,,1 Year,IPS,Yes,,,,,MicroSD card,,,,,,,,,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus VivoBook 15.6"" Full HD Thin & Light Laptop (1TB)[Intel Core i7]",899,https://www.jbhifi.com.au/products/asus-vivobook-15-6-full-hd-thin-light-laptop-1tbintel-core-i7,Laptop,,15.6,"15"" to 16.9""",1920 x 1200,,,Intel Core i7,Intel® Core™ i7-1355U,10 Core,,5,,,16,,1TB,M.2,,,1,2,1,3.2,,HD,v5.3,,Wi-Fi 6E (802.11 ax),1,42,3,Windows 11 Home,Silver,,,,,,1 Year,IPS,,1.7,4,,,,,,1,1,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Pro Copilot+ PC 12"" Snapdragon X Plus 8 core/16GB/256GB (Platinum)",999,https://www.jbhifi.com.au/products/microsoft-surface-pro-copilot-pc-12-snapdragon-x-plus-8-core-16gb-256gb-platinum,2 in 1,,12,"12"" to 12.9""",2196 x 1464 (220 PPI),,,Qualcomm Snapdragon,Snapdragon X Plus X1P-42-100,8 Core,30MB,3.4,"Yes, Yes",,16,"LPDDR5x, LPDDR5x",256GB,,256GB,integrated,,,2,,,FHD,v5.4,,Wi-Fi 7 (802.11 be),,38.8,2,Windows 11 Home,Platinum,36.3,209.3,293.3,1.143,,2 Years,PixelSense LCD display,Yes,,,,,,,,,,,,,,,Surface Pro,Qualcomm Hexagon,45,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Laptop CoPilot+ PC 13"" Snapdragon X Plus 8 core/16GB/256GB (Platinum)",1199,https://www.jbhifi.com.au/products/microsoft-surface-laptop-copilot-pc-13-snapdragon-x-plus-8-core-16gb-256gb-platinum,Laptop,,13,"13"" to 13.9""",1920 x 1280,,,Qualcomm Snapdragon,Snapdragon X Plus X1P-42-100,8 Core,30MB,3.4,Yes,Copilot keyboard key,16,LPDDR5x,256GB,,256GB,integrated,,,2,,Yes,FHD,v5.4,,Wi-Fi 7 (802.11 be),,50,4,Windows 11 Home,Platinum,74.7,234.1,305,1.879,,2 Years,PixelSense™ Flow Display,Yes,,,,,,,,,,,,,,,Surface Laptop,Qualcomm Hexagon,45,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,
